status,paper_url,issue_url,doi,joss_id,title,repo_url
published,https://joss.theoj.org/papers/10.21105/joss.00848,,10.21105/joss.00848,00848,countrycode: An R package to convert country names and country codes,https://github.com/vincentarelbundock/countrycode
published,https://joss.theoj.org/papers/10.21105/joss.00826,,10.21105/joss.00826,00826,BAMnostic: an OS-agnostic toolkit for genomic sequence analysis,https://github.com/betteridiot/bamnostic
published,https://joss.theoj.org/papers/10.21105/joss.00860,,10.21105/joss.00860,00860,TDAstats: R pipeline for computing persistent homology in topological data analysis,https://github.com/rrrlw/TDAstats
published,https://joss.theoj.org/papers/10.21105/joss.00846,,10.21105/joss.00846,00846,RISE: An R package for RISE analysis,https://github.com/lumenlearning/rise
published,https://joss.theoj.org/papers/10.21105/joss.00883,,10.21105/joss.00883,00883,jstor: Import and Analyse Data from Scientific Texts,https://github.com/ropensci/jstor
published,https://joss.theoj.org/papers/10.21105/joss.00797,,10.21105/joss.00797,00797,effmass: An effective mass package,https://github.com/lucydot/effmass
published,https://joss.theoj.org/papers/10.21105/joss.00878,,10.21105/joss.00878,00878,"Containershare: Open Source Registry to build, test, deploy with CircleCI",
published,https://joss.theoj.org/papers/10.21105/joss.00717,,10.21105/joss.00717,00717,sumo: Command-line tools for plotting and analysis of periodic *ab initio* calculations,https://github.com/SMTG-UCL/sumo
published,https://joss.theoj.org/papers/10.21105/joss.00828,,10.21105/joss.00828,00828,The hhi Package: Streamlined Calculation and Visualization of Herfindahl-Hirschman Index Scores,https://github.com/pdwaggoner/hhi
published,https://joss.theoj.org/papers/10.21105/joss.00870,,10.21105/joss.00870,00870,logKDE: log-transformed kernel density estimation,https://github.com/andrewthomasjones/logKDE
published,https://joss.theoj.org/papers/10.21105/joss.00566,,10.21105/joss.00566,00566,PolaronMobility.jl: Implementation of the Feynman variational polaron model,https://github.com/jarvist/PolaronMobility.jl
published,https://joss.theoj.org/papers/10.21105/joss.00803,,10.21105/joss.00803,00803,"ukpopulation: unified national and subnational population estimates and projections, including variants",https://github.com/nismod/ukpopulation
published,https://joss.theoj.org/papers/10.21105/joss.00710,,10.21105/joss.00710,00710,MCycle: A Python package for 1D sizing and analysis of thermodynamic power cycles,https://github.com/momargoh/MCycle
published,https://joss.theoj.org/papers/10.21105/joss.00829,,10.21105/joss.00829,00829,"pysrim: Automation, Analysis, and Plotting of SRIM Calculations",https://gitlab.com/costrouc/pysrim
published,https://joss.theoj.org/papers/10.21105/joss.00821,,10.21105/joss.00821,00821,heatwaveR: A central algorithm for the detection of heatwaves and cold-spells,https://github.com/robwschlegel/heatwaveR
published,https://joss.theoj.org/papers/10.21105/joss.00787,,10.21105/joss.00787,00787,rowan: A Python package for working with quaternions,https://bitbucket.org/glotzer/rowan
published,https://joss.theoj.org/papers/10.21105/joss.00859,,10.21105/joss.00859,00859,nomisr: Access 'Nomis' UK Labour Market Data,https://github.com/ropensci/nomisr
published,https://joss.theoj.org/papers/10.21105/joss.00749,,10.21105/joss.00749,00749,SpeechPy - A Library for Speech Processing and Recognition,https://github.com/astorfi/speechpy
published,https://joss.theoj.org/papers/10.21105/joss.00737,,10.21105/joss.00737,00737,Cylc: A Workflow Engine for Cycling Systems,https://github.com/cylc/cylc
published,https://joss.theoj.org/papers/10.21105/joss.00676,,10.21105/joss.00676,00676,OPEM : Open Source PEM Cell Simulation Tool,https://github.com/ECSIM/opem
published,https://joss.theoj.org/papers/10.21105/joss.00698,,10.21105/joss.00698,00698,"A reusable tree-based web-visualization to browse EDAM ontology, and contribute to it.",https://github.com/IFB-ElixirFr/edam-browser
published,https://joss.theoj.org/papers/10.21105/joss.00767,,10.21105/joss.00767,00767,salabim: discrete event simulation and animation in Python,https://github.com/salabim/salabim
published,https://joss.theoj.org/papers/10.21105/joss.00668,,10.21105/joss.00668,00668,pdfsearch: Search Tools for PDF Files,https://github.com/lebebr01/pdfsearch
published,https://joss.theoj.org/papers/10.21105/joss.00718,,10.21105/joss.00718,00718,BeeNestABM: An open-source agent-based model of spatiotemporal distribution of bumblebees in nests,https://github.com/ashleefv/BeeNestABM
published,https://joss.theoj.org/papers/10.21105/joss.00772,,10.21105/joss.00772,00772,ggeffects: Tidy Data Frames of Marginal Effects from Regression Models,https://github.com/strengejacke/ggeffects
published,https://joss.theoj.org/papers/10.21105/joss.00753,,10.21105/joss.00753,00753,opt\_einsum - A Python package for optimizing contraction order for einsum-like expressions,https://github.com/dgasmith/opt_einsum
published,https://joss.theoj.org/papers/10.21105/joss.00782,,10.21105/joss.00782,00782,py-opc: operate the Alphasense OPC-N2 from a raspberry pi or other popular microcontrollers/microcomputers,https://github.com/dhhagan/py-opc
published,https://joss.theoj.org/papers/10.21105/joss.00695,,10.21105/joss.00695,00695,dustmaps: A Python interface for maps of interstellar dust,https://github.com/gregreen/dustmaps
published,https://joss.theoj.org/papers/10.21105/joss.00786,,10.21105/joss.00786,00786,iml: An R package for Interpretable Machine Learning,https://github.com/christophM/iml
published,https://joss.theoj.org/papers/10.21105/joss.00545,,10.21105/joss.00545,00545,Limbo: A Flexible High-performance Library for Gaussian Processes modeling and Data-Efficient Optimization,https://github.com/resibots/limbo
published,https://joss.theoj.org/papers/10.21105/joss.00790,,10.21105/joss.00790,00790,phylogram: an R package for phylogenetic analysis with nested lists,https://github.com/ropensci/phylogram
published,https://joss.theoj.org/papers/10.21105/joss.00678,,10.21105/joss.00678,00678,"SuchTree: Fast, thread-safe computations with phylogenetic trees",https://github.com/ryneches/SuchTree
published,https://joss.theoj.org/papers/10.21105/joss.00766,,10.21105/joss.00766,00766,General binary file parser.,https://github.com/jfjlaros/bin-parser
published,https://joss.theoj.org/papers/10.21105/joss.00670,,10.21105/joss.00670,00670,MatchPy: Pattern Matching in Python,https://github.com/HPAC/matchpy
published,https://joss.theoj.org/papers/10.21105/joss.00656,,10.21105/joss.00656,00656,QUIT: QUantitative Imaging Tools,https://github.com/spinicist/QUIT
published,https://joss.theoj.org/papers/10.21105/joss.00739,,10.21105/joss.00739,00739,rsimsum: Summarise results from Monte Carlo simulation studies,https://github.com/ellessenne/rsimsum/
published,https://joss.theoj.org/papers/10.21105/joss.00775,,10.21105/joss.00775,00775,HelpMe Command Line Helper Utility,
published,https://joss.theoj.org/papers/10.21105/joss.00754,,10.21105/joss.00754,00754,sjmisc: Data and Variable Transformation Functions,https://github.com/strengejacke/sjmisc
published,https://joss.theoj.org/papers/10.21105/joss.00487,,10.21105/joss.00487,00487,kima: Exoplanet detection in radial velocities,https://github.com/j-faria/kima
published,https://joss.theoj.org/papers/10.21105/joss.00726,,10.21105/joss.00726,00726,"mlpack 3: a fast, flexible machine learning library",https://github.com/mlpack/mlpack
published,https://joss.theoj.org/papers/10.21105/joss.00651,,10.21105/joss.00651,00651,mmappickle: Python 3 module to store memory-mapped numpy array in pickle format,https://github.com/UniNE-CHYN/mmappickle
published,https://joss.theoj.org/papers/10.21105/joss.00735,,10.21105/joss.00735,00735,egtplot: A Python Package for Three-Strategy Evolutionary Games,https://github.com/mirzaevinom/egtplot
published,https://joss.theoj.org/papers/10.21105/joss.00592,,10.21105/joss.00592,00592,Aronnax: An idealised isopycnal ocean model,https://github.com/edoddridge/aronnax
published,https://joss.theoj.org/papers/10.21105/joss.00773,,10.21105/joss.00773,00773,Galore: Broadening and weighting for simulation of photoelectron spectroscopy,https://github.com/SMTG-UCL/galore
published,https://joss.theoj.org/papers/10.21105/joss.00765,,10.21105/joss.00765,00765,Philentropy: Information Theory and Distance Quantification with R,https://github.com/HajkD/philentropy
published,https://joss.theoj.org/papers/10.21105/joss.00707,,10.21105/joss.00707,00707,OctApps: a library of Octave functions for continuous gravitational-wave data analysis,https://github.com/octapps/octapps
published,https://joss.theoj.org/papers/10.21105/joss.00741,,10.21105/joss.00741,00741,PyUnfold: A Python package for iterative unfolding,https://github.com/jrbourbeau/pyunfold
published,https://joss.theoj.org/papers/10.21105/joss.00748,,10.21105/joss.00748,00748,Discrete Laplace mixture model with applications in forensic genetics,https://github.com/mikldk/disclapmix
published,https://joss.theoj.org/papers/10.21105/joss.00719,,10.21105/joss.00719,00719,fib-tf: A TensorFlow-based Cardiac Electrophysiology Simulator,https://github.com/siravan/fib_tf
